Past 7 days analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Past 7 days
Radio 1,135142314,Luapula,Samfya,Urban,Male,1,,D,No formal education,Christian,Not employed,D,"K 1675- K2,499",,45+,"Radio 1,Bangwela,Radio 2"
Bangwela,135142314,Luapula,Samfya,Urban,Male,1,,D,No formal education,Christian,Not employed,D,"K 1675- K2,499",,45+,"Radio 1,Bangwela,Radio 2"
Radio 2,135142314,Luapula,Samfya,Urban,Male,1,,D,No formal education,Christian,Not employed,D,"K 1675- K2,499",,45+,"Radio 1,Bangwela,Radio 2"
Yangeni,134805094,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"K FM,Tuta,Radio 1,Yangeni"
Tuta,134805094,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"K FM,Tuta,Radio 1,Yangeni"
Radio 1,134805094,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"K FM,Tuta,Radio 1,Yangeni"
K FM,134805094,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"K FM,Tuta,Radio 1,Yangeni"
Radio 1,135142313,Luapula,Samfya,Urban,Male,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Radio 1,Bangwela"
Bangwela,135142313,Luapula,Samfya,Urban,Male,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Radio 1,Bangwela"
Yangeni,135149858,Luapula,Samfya,Urban,Male,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Radio 1,Bangwela,Yangeni"
Radio 1,135149858,Luapula,Samfya,Urban,Male,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Radio 1,Bangwela,Yangeni"
Bangwela,135149858,Luapula,Samfya,Urban,Male,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Radio 1,Bangwela,Yangeni"
Yangeni,134868592,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,45+,"K FM,Tuta,Yangeni"
Tuta,134868592,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,45+,"K FM,Tuta,Yangeni"
K FM,134868592,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,45+,"K FM,Tuta,Yangeni"
Bangwela,135149863,Luapula,Samfya,Urban,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,Bangwela
Tuta,134844662,Luapula,Mansa,Urban,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,Tuta
Yangeni,134816269,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"Tuta,Radio 1,Yangeni"
Tuta,134816269,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"Tuta,Radio 1,Yangeni"
Radio 1,134816269,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"Tuta,Radio 1,Yangeni"
Tuta,134918452,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,Tuta
Radio 1,134912071,Luapula,Mansa,Rural,Female,2,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
Radio 2,134912071,Luapula,Mansa,Rural,Female,2,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
Yangeni,134912071,Luapula,Mansa,Rural,Female,2,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
Tuta,134912071,Luapula,Mansa,Rural,Female,2,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
K FM,134912071,Luapula,Mansa,Rural,Female,2,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
Parliament,134841029,Luapula,Mansa,Urban,Male,3,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Parliament,Yangeni"
Radio 1,134841029,Luapula,Mansa,Urban,Male,3,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Parliament,Yangeni"
Yangeni,134841029,Luapula,Mansa,Urban,Male,3,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Parliament,Yangeni"
Tuta,134841029,Luapula,Mansa,Urban,Male,3,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Parliament,Yangeni"
K FM,134841029,Luapula,Mansa,Urban,Male,3,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Parliament,Yangeni"
Radio 2,135074057,Luapula,Samfya,Rural,Female,3,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Radio 1,Bangwela,Radio 2"
Radio 1,135074057,Luapula,Samfya,Rural,Female,3,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Radio 1,Bangwela,Radio 2"
Bangwela,135074057,Luapula,Samfya,Rural,Female,3,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Radio 1,Bangwela,Radio 2"
K FM,135074057,Luapula,Samfya,Rural,Female,3,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Radio 1,Bangwela,Radio 2"
Radio 1,134912073,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,45+,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
Radio 2,134912073,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,45+,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
Yangeni,134912073,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,45+,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
Tuta,134912073,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,45+,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
K FM,134912073,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,45+,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
Radio 1,135117532,Luapula,Samfya,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,Radio 1
Yangeni,134868591,Luapula,Mansa,Rural,Male,3,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Yangeni"
K FM,134868591,Luapula,Mansa,Rural,Male,3,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Yangeni"
Yangeni,134918450,Luapula,Mansa,Rural,Male,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,15 – 18,Yangeni
Bangwela,134909491,Luapula,Mansa,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Bangwela,Yangeni"
Radio 1,134909491,Luapula,Mansa,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Bangwela,Yangeni"
Yangeni,134909491,Luapula,Mansa,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Bangwela,Yangeni"
Tuta,134909491,Luapula,Mansa,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Bangwela,Yangeni"
K FM,134909491,Luapula,Mansa,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Bangwela,Yangeni"
Yangeni,134868594,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Yangeni"
Tuta,134868594,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Yangeni"
K FM,134868594,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Yangeni"
Radio 1,134903356,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
Radio 2,134903356,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
Yangeni,134903356,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
Tuta,134903356,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
K FM,134903356,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"K FM,Tuta,Radio 1,Radio 2,Yangeni"
Radio 4,134656282,Luapula,Nchelenge,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"Luapula,Radio 4"
Luapula,134656282,Luapula,Nchelenge,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"Luapula,Radio 4"
Radio 1,134661604,Luapula,Nchelenge,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"Luapula,Radio 1"
Luapula,134661604,Luapula,Nchelenge,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"Luapula,Radio 1"
Luapula,134662916,Luapula,Nchelenge,Rural,Male,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,Luapula
Luapula,134666485,Luapula,Nchelenge,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,Luapula
Radio 1,134667535,Luapula,Nchelenge,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"Luapula,Radio 1"
Luapula,134667535,Luapula,Nchelenge,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"Luapula,Radio 1"
Tuta,134816270,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,Tuta
Tuta,134918453,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,Tuta
Yangeni,134955410,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"K FM,Tuta,Radio 1,Yangeni"
Tuta,134955410,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"K FM,Tuta,Radio 1,Yangeni"
Radio 1,134955410,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"K FM,Tuta,Radio 1,Yangeni"
K FM,134955410,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"K FM,Tuta,Radio 1,Yangeni"
Radio 2,135118610,Luapula,Samfya,Rural,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"Luapula,Bangwela,Radio 2,BBC"
Bangwela,135118610,Luapula,Samfya,Rural,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"Luapula,Bangwela,Radio 2,BBC"
BBC,135118610,Luapula,Samfya,Rural,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"Luapula,Bangwela,Radio 2,BBC"
Luapula,135118610,Luapula,Samfya,Rural,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"Luapula,Bangwela,Radio 2,BBC"
Mkushi,135041421,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,15 – 18,"Mkushi,Komboni"
Komboni,135041421,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,15 – 18,"Mkushi,Komboni"
Power,135181146,Central,Kabwe,Urban,Male,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"KNC,Power"
KNC,135181146,Central,Kabwe,Urban,Male,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,"KNC,Power"
KNC,135181145,Central,Kabwe,Urban,Female,2,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,45+,KNC
Power,135190701,Central,Kabwe,Urban,Female,1,,D,Primary,Christian,Employed not for cash,D,"K 1675- K2,499",,19 – 24,"KNC,Power,Maranatha"
KNC,135190701,Central,Kabwe,Urban,Female,1,,D,Primary,Christian,Employed not for cash,D,"K 1675- K2,499",,19 – 24,"KNC,Power,Maranatha"
Maranatha,135190701,Central,Kabwe,Urban,Female,1,,D,Primary,Christian,Employed not for cash,D,"K 1675- K2,499",,19 – 24,"KNC,Power,Maranatha"
Mkushi,134855847,Central,Mkushi,Rural,Male,2,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,Mkushi
Maranatha,135152870,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"KNC,Radio 4,Radio 1,Radio 2,Maranatha"
Radio 1,135152870,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"KNC,Radio 4,Radio 1,Radio 2,Maranatha"
Radio 2,135152870,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"KNC,Radio 4,Radio 1,Radio 2,Maranatha"
Radio 4,135152870,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"KNC,Radio 4,Radio 1,Radio 2,Maranatha"
KNC,135152870,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"KNC,Radio 4,Radio 1,Radio 2,Maranatha"
KNC,135174806,Central,Kabwe,Urban,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,35 – 44,KNC
Radio 1,134953624,Central,Kapiri Mposhi,Urban,Female,1,,D,Tertiary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,Radio 1
Radio 1,134731030,Central,Serenje,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"Serenje,Radio 4,Radio 1,Radio 2"
Radio 4,134731030,Central,Serenje,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"Serenje,Radio 4,Radio 1,Radio 2"
Serenje,134731030,Central,Serenje,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"Serenje,Radio 4,Radio 1,Radio 2"
Radio 2,134731030,Central,Serenje,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"Serenje,Radio 4,Radio 1,Radio 2"
Radio 4,135144995,Central,Kabwe,Urban,Female,3,,D,Tertiary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"Phoenix,KNC,Radio 4,Power"
Power,135144995,Central,Kabwe,Urban,Female,3,,D,Tertiary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"Phoenix,KNC,Radio 4,Power"
KNC,135144995,Central,Kabwe,Urban,Female,3,,D,Tertiary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"Phoenix,KNC,Radio 4,Power"
Phoenix,135144995,Central,Kabwe,Urban,Female,3,,D,Tertiary,Christian,Not employed,D,"K 1675- K2,499",,25 – 34,"Phoenix,KNC,Radio 4,Power"
Radio 1,134731031,Central,Serenje,Rural,Male,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,45+,"Serenje,Radio 1,Radio 2"
Serenje,134731031,Central,Serenje,Rural,Male,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,45+,"Serenje,Radio 1,Radio 2"
Radio 2,134731031,Central,Serenje,Rural,Male,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,45+,"Serenje,Radio 1,Radio 2"
Radio 2,134820845,Central,Mkushi,Rural,Male,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,Radio 2
Radio 1,134832098,Central,Mkushi,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Mkushi,KNC,Radio 4,Radio 1,Radio 2"
Mkushi,134832098,Central,Mkushi,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Mkushi,KNC,Radio 4,Radio 1,Radio 2"
Radio 2,134832098,Central,Mkushi,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Mkushi,KNC,Radio 4,Radio 1,Radio 2"
Radio 4,134832098,Central,Mkushi,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Mkushi,KNC,Radio 4,Radio 1,Radio 2"
KNC,134832098,Central,Mkushi,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Mkushi,KNC,Radio 4,Radio 1,Radio 2"
Joy,134921577,Central,Kapiri Mposhi,Rural,Male,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,Joy
Maranatha,135181977,Central,Kabwe,Urban,Male,2,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Phoenix,KNC,Maranatha"
KNC,135181977,Central,Kabwe,Urban,Male,2,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Phoenix,KNC,Maranatha"
Phoenix,135181977,Central,Kabwe,Urban,Male,2,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Phoenix,KNC,Maranatha"
Radio 1,134955835,Central,Kapiri Mposhi,Urban,Female,1,,D,Primary,Other,Employed not for cash,D,"K 1675- K2,499",,25 – 34,"KNC,Radio 1"
KNC,134955835,Central,Kapiri Mposhi,Urban,Female,1,,D,Primary,Other,Employed not for cash,D,"K 1675- K2,499",,25 – 34,"KNC,Radio 1"
KNC,134879245,Central,Mkushi,Rural,Female,1,,D,Secondary,Other,Employed not for cash,D,"K 1675- K2,499",,25 – 34,"Mkushi,KNC,Radio 1,Radio 2"
Radio 1,134879245,Central,Mkushi,Rural,Female,1,,D,Secondary,Other,Employed not for cash,D,"K 1675- K2,499",,25 – 34,"Mkushi,KNC,Radio 1,Radio 2"
Mkushi,134879245,Central,Mkushi,Rural,Female,1,,D,Secondary,Other,Employed not for cash,D,"K 1675- K2,499",,25 – 34,"Mkushi,KNC,Radio 1,Radio 2"
Radio 2,134879245,Central,Mkushi,Rural,Female,1,,D,Secondary,Other,Employed not for cash,D,"K 1675- K2,499",,25 – 34,"Mkushi,KNC,Radio 1,Radio 2"
KNC,134851888,Central,Mkushi,Rural,Male,1,,D,Secondary,Other,Not employed,D,"K 1675- K2,499",,15 – 18,"Mkushi,KNC,Radio 1,Radio 2"
Radio 1,134851888,Central,Mkushi,Rural,Male,1,,D,Secondary,Other,Not employed,D,"K 1675- K2,499",,15 – 18,"Mkushi,KNC,Radio 1,Radio 2"
Mkushi,134851888,Central,Mkushi,Rural,Male,1,,D,Secondary,Other,Not employed,D,"K 1675- K2,499",,15 – 18,"Mkushi,KNC,Radio 1,Radio 2"
Radio 2,134851888,Central,Mkushi,Rural,Male,1,,D,Secondary,Other,Not employed,D,"K 1675- K2,499",,15 – 18,"Mkushi,KNC,Radio 1,Radio 2"
KNC,135086848,Central,Kapiri Mposhi,Rural,Female,2,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,KNC
KNC,134851890,Central,Mkushi,Urban,Male,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"Mkushi,KNC,Radio 1,Radio 2"
Radio 1,134851890,Central,Mkushi,Urban,Male,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"Mkushi,KNC,Radio 1,Radio 2"
Mkushi,134851890,Central,Mkushi,Urban,Male,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"Mkushi,KNC,Radio 1,Radio 2"
Radio 2,134851890,Central,Mkushi,Urban,Male,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"Mkushi,KNC,Radio 1,Radio 2"
KNC,134851891,Central,Mkushi,Urban,Female,1,,D,Primary,Other,Employed not for cash,D,"K 1675- K2,499",,19 – 24,"Mkushi,KNC,Radio 1,Radio 2"
Radio 1,134851891,Central,Mkushi,Urban,Female,1,,D,Primary,Other,Employed not for cash,D,"K 1675- K2,499",,19 – 24,"Mkushi,KNC,Radio 1,Radio 2"
Mkushi,134851891,Central,Mkushi,Urban,Female,1,,D,Primary,Other,Employed not for cash,D,"K 1675- K2,499",,19 – 24,"Mkushi,KNC,Radio 1,Radio 2"
Radio 2,134851891,Central,Mkushi,Urban,Female,1,,D,Primary,Other,Employed not for cash,D,"K 1675- K2,499",,19 – 24,"Mkushi,KNC,Radio 1,Radio 2"
Maranatha,135189046,Central,Kabwe,Urban,Female,2,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"KNC,Radio 2,Maranatha"
KNC,135189046,Central,Kabwe,Urban,Female,2,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"KNC,Radio 2,Maranatha"
Radio 2,135189046,Central,Kabwe,Urban,Female,2,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"KNC,Radio 2,Maranatha"
KNC,135076266,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,KNC
KNC,134920813,Central,Mkushi,Urban,Female,1,,D,Primary,Other,Not employed,D,"K 1675- K2,499",,35 – 44,"Mkushi,KNC,Radio 4"
Radio 4,134920813,Central,Mkushi,Urban,Female,1,,D,Primary,Other,Not employed,D,"K 1675- K2,499",,35 – 44,"Mkushi,KNC,Radio 4"
Mkushi,134920813,Central,Mkushi,Urban,Female,1,,D,Primary,Other,Not employed,D,"K 1675- K2,499",,35 – 44,"Mkushi,KNC,Radio 4"
Radio 1,135086582,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Other,Employed not for cash,D,"K 1675- K2,499",,25 – 34,"KNC,Radio 1,Radio 2,Maranatha"
Maranatha,135086582,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Other,Employed not for cash,D,"K 1675- K2,499",,25 – 34,"KNC,Radio 1,Radio 2,Maranatha"
KNC,135086582,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Other,Employed not for cash,D,"K 1675- K2,499",,25 – 34,"KNC,Radio 1,Radio 2,Maranatha"
Radio 2,135086582,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Other,Employed not for cash,D,"K 1675- K2,499",,25 – 34,"KNC,Radio 1,Radio 2,Maranatha"
KNC,135189704,Central,Kabwe,Urban,Female,1,,D,Primary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,KNC
Serenje,134577917,Central,Serenje,Urban,Male,2,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,Serenje
Radio 1,134591767,Central,Serenje,Urban,Female,2,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"Serenje,Radio 1,Radio 2"
Serenje,134591767,Central,Serenje,Urban,Female,2,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"Serenje,Radio 1,Radio 2"
Radio 2,134591767,Central,Serenje,Urban,Female,2,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"Serenje,Radio 1,Radio 2"
Radio 1,134591768,Central,Serenje,Urban,Male,2,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,15 – 18,"Serenje,Radio 4,Radio 1,Radio 2"
Radio 4,134591768,Central,Serenje,Urban,Male,2,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,15 – 18,"Serenje,Radio 4,Radio 1,Radio 2"
Serenje,134591768,Central,Serenje,Urban,Male,2,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,15 – 18,"Serenje,Radio 4,Radio 1,Radio 2"
Radio 2,134591768,Central,Serenje,Urban,Male,2,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,15 – 18,"Serenje,Radio 4,Radio 1,Radio 2"
Radio 1,134636309,Central,Serenje,Rural,Male,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,Radio 1
Serenje,134638461,Central,Serenje,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Serenje,Radio 4,Radio 1,Radio 2,Joy"
Radio 1,134638461,Central,Serenje,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Serenje,Radio 4,Radio 1,Radio 2,Joy"
Radio 2,134638461,Central,Serenje,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Serenje,Radio 4,Radio 1,Radio 2,Joy"
Radio 4,134638461,Central,Serenje,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Serenje,Radio 4,Radio 1,Radio 2,Joy"
Joy,134638461,Central,Serenje,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"Serenje,Radio 4,Radio 1,Radio 2,Joy"
Radio 1,134672190,Central,Serenje,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,19 – 24,Radio 1
Radio 1,134675064,Central,Serenje,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"Serenje,Radio 1"
Serenje,134675064,Central,Serenje,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"Serenje,Radio 1"
Radio 1,134876929,Central,Mkushi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,Radio 1
Mkushi,134891772,Central,Mkushi,Urban,Male,1,,D,No formal education,Christian,Employed for cash,D,"K 1675- K2,499",,25 – 34,Mkushi
KNC,134912428,Central,Mkushi,Urban,Female,1,,D,Secondary,Christian,Not employed,D,"K 1675- K2,499",,35 – 44,"Mkushi,KNC"
