Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Total Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
Mazabuka,60607366,,,"Mazabuka,Radio 1,Komboni Radio,BBC,Byta,Chikuni,Choma Maano,Kariba,Namwiaanga,Q FM,Radio 2,Radio 4,SKY,Vision Maacha,","Mazabuka,Radio 1,Komboni Radio,BBC,Byta,Chikuni,Choma Maano,Kariba,Namwiaanga,Q FM,Radio 2,Radio 4,SKY,Vision Maacha,","BBC,Chikuni,Mazabuka,Radio 1,Radio 2,Radio 4,SKY,,","Mazabuka,Radio 1,","Mazabuka,Radio 1,","Mazabuka,Radio 1,Radio 4,","BBC,Chikuni,Mazabuka,Radio 1,Radio 2,Radio 4,SKY,"
Radio 1,60607366,,,"Mazabuka,Radio 1,Komboni Radio,BBC,Byta,Chikuni,Choma Maano,Kariba,Namwiaanga,Q FM,Radio 2,Radio 4,SKY,Vision Maacha,","Mazabuka,Radio 1,Komboni Radio,BBC,Byta,Chikuni,Choma Maano,Kariba,Namwiaanga,Q FM,Radio 2,Radio 4,SKY,Vision Maacha,","BBC,Chikuni,Mazabuka,Radio 1,Radio 2,Radio 4,SKY,,","Mazabuka,Radio 1,","Mazabuka,Radio 1,","Mazabuka,Radio 1,Radio 4,","BBC,Chikuni,Mazabuka,Radio 1,Radio 2,Radio 4,SKY,"
Yar,60607482,,,"Flava FM,Radio Christian Voice,Yar, Icengelo,","Flava FM,Radio Christian Voice,Yar, Icengelo,","Flava FM,Icengelo,Radio Christian Voice,Yar,",Yar,"Flava FM,Yar","Flava FM,Yar","Flava FM,Yar"
Flava FM,60607482,,,"Flava FM,Radio Christian Voice,Yar, Icengelo,","Flava FM,Radio Christian Voice,Yar, Icengelo,","Flava FM,Icengelo,Radio Christian Voice,Yar,",Yar,"Flava FM,Yar","Flava FM,Yar","Flava FM,Yar"
Lutanda,60607751,,,"Lutanda,Kwithu FM,Radio Mano,Radio 2, BBC,Nothern FM,Radio 1,Radio 4,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Radio 2, BBC,Nothern FM,Radio 1,Radio 4,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Radio 2","Lutanda,Kwithu FM","Lutanda,Kwithu FM","Lutanda,Kwithu FM,Radio Mano,Radio 1","Lutanda,Kwithu FM,Radio Mano,Radio 2"
Kwithu FM,60607751,,,"Lutanda,Kwithu FM,Radio Mano,Radio 2, BBC,Nothern FM,Radio 1,Radio 4,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Radio 2, BBC,Nothern FM,Radio 1,Radio 4,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Radio 2","Lutanda,Kwithu FM","Lutanda,Kwithu FM","Lutanda,Kwithu FM,Radio Mano,Radio 1","Lutanda,Kwithu FM,Radio Mano,Radio 2"
Nothern FM,60607752,,,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio 2, BBC,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio 2, BBC,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,",,Nothern FM,"Lutanda,Kwithu FM,Radio Mano,Nothern FM","Lutanda,Kwithu FM,Radio Mano,Nothern FM"
Radio Mano,60607755,,,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio 2, BBC,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio 2, BBC,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio 2,Radio Christian Voice",Radio Mano,Radio Mano,Radio Mano,"BBC,Lutanda,Kwithu FM,Radio Mano,Radio 1"
Sun FM,60608386,,,"Q FM,Sun FMFM,Radio 1,Radio 2,Radio 4,BBC,Chimwemwe,Icengelo,Jive,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,","Q FM,Sun FMFM,Radio 1,Radio 2,Radio 4,BBC,Chimwemwe,Icengelo,Jive,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,","Icengelo,Q FM,Sun FM,Radio 1,Radio 2,Radio 4,",,Sat,Sat,"Icengelo,Sun FM,Radio 1,"
Sun FM,60608388,,,"Chimwemwe,Sun FMFM, BBC,Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio Christian Voice,Radio Mpongwe,Radio 1,Radio 2,Radio 1,","Chimwemwe,Sun FMFM, BBC,Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio Christian Voice,Radio Mpongwe,Radio 1,Radio 2,Radio 1,","Icengelo,Phoenix,Sun FM",Sat,"Icengelo,Sun FM","Icengelo,Sun FM","Icengelo,Sun FM"
Icengelo,60608388,,,"Chimwemwe,Sun FMFM, BBC,Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio Christian Voice,Radio Mpongwe,Radio 1,Radio 2,Radio 1,","Chimwemwe,Sun FMFM, BBC,Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio Christian Voice,Radio Mpongwe,Radio 1,Radio 2,Radio 1,","Icengelo,Phoenix,Sun FM",Sat,"Icengelo,Sun FM","Icengelo,Sun FM","Icengelo,Sun FM"
Sun FM,60608389,,,"Icengelo,Phoenix,Radio Christian Voice,Sun FMFM, Chimwemwe,Radio 1,Radio 2,Radio 4,Rise FM,Yar,Radio 1,Radio 2,Radio 1,","Icengelo,Phoenix,Radio Christian Voice,Sun FMFM, Chimwemwe,Radio 1,Radio 2,Radio 4,Rise FM,Yar,Radio 1,Radio 2,Radio 1,","Icengelo,Phoenix,Radio 1,Radio 2,Radio Christian Voice,Sun FM,","Icengelo,Sun FM","Icengelo,Sun FM","Icengelo,Sun FM",Icengelo
Icengelo,60608389,,,"Icengelo,Phoenix,Radio Christian Voice,Sun FMFM, Chimwemwe,Radio 1,Radio 2,Radio 4,Rise FM,Yar,Radio 1,Radio 2,Radio 1,","Icengelo,Phoenix,Radio Christian Voice,Sun FMFM, Chimwemwe,Radio 1,Radio 2,Radio 4,Rise FM,Yar,Radio 1,Radio 2,Radio 1,","Icengelo,Phoenix,Radio 1,Radio 2,Radio Christian Voice,Sun FM,","Icengelo,Sun FM","Icengelo,Sun FM","Icengelo,Sun FM",Icengelo
Icengelo,60608390,,,"Icengelo,Radio Christian Voice, Chimwemwe,Flava FM,Jive,Phoenix,Q FM,Radio 1,Sun FMFM,Radio 1,Radio 2,","Icengelo,Radio Christian Voice, Chimwemwe,Flava FM,Jive,Phoenix,Q FM,Radio 1,Sun FMFM,Radio 1,Radio 2,","Icengelo,Sun FM,",Icengelo,Icengelo,Icengelo,Icengelo
Sun FM,60608391,,,"Flava FM,Phoenix,Radio 2,Radio Christian Voice,Sun FMFM,Yar,Radio 1,Radio 2,Radio 4, BBC,Chimwemwe,Icengelo,Parliament,Q FM,Radio 1,Radio 4,Rise FM,","Flava FM,Phoenix,Radio 2,Radio Christian Voice,Sun FMFM,Yar,Radio 1,Radio 2,Radio 4, BBC,Chimwemwe,Icengelo,Parliament,Q FM,Radio 1,Radio 4,Rise FM,","Radio Christian Voice,Sun FM,Yar,Radio 1,Radio 4",Yar,"Sun FM,Yar","Sun FM,Yar,Radio 2","Sun FM,Yar,Radio 4"
Yar,60608391,,,"Flava FM,Phoenix,Radio 2,Radio Christian Voice,Sun FMFM,Yar,Radio 1,Radio 2,Radio 4, BBC,Chimwemwe,Icengelo,Parliament,Q FM,Radio 1,Radio 4,Rise FM,","Flava FM,Phoenix,Radio 2,Radio Christian Voice,Sun FMFM,Yar,Radio 1,Radio 2,Radio 4, BBC,Chimwemwe,Icengelo,Parliament,Q FM,Radio 1,Radio 4,Rise FM,","Radio Christian Voice,Sun FM,Yar,Radio 1,Radio 4",Yar,"Sun FM,Yar","Sun FM,Yar,Radio 2","Sun FM,Yar,Radio 4"
Phoenix,60608392,,,"Icengelo,Radio Christian Voice,Sun FMFM,Komboni Radio,Chimwemwe,Flava FM,Jive,Phoenix,Radio 1,","Icengelo,Radio Christian Voice,Sun FMFM,Komboni Radio,Chimwemwe,Flava FM,Jive,Phoenix,Radio 1,","Chimwemwe,Phoenix,Radio 1,,",,"Phoenix,","Phoenix,","Chimwemwe,Phoenix,Radio 1,"
Radio Christian Voice,60608394,,,"Chimwemwe,Icengelo,Radio Christian Voice,Sky Fm, Breeze Fm,BBC,Jive,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Sun FMFM,","Chimwemwe,Icengelo,Radio Christian Voice,Sky Fm, Breeze Fm,BBC,Jive,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Sun FMFM,","BBC,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FM",,Radio Christian Voice,Radio Christian Voice,"Phoenix,Radio Christian Voice"
Icengelo,60608395,,,"BBC,Chimwemwe,Icengelo, Flava FM,Iwave,Jive,Kokoliko,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FMFM,Radio 1,Radio 2,Radio 4,","BBC,Chimwemwe,Icengelo, Flava FM,Iwave,Jive,Kokoliko,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FMFM,Radio 1,Radio 2,Radio 4,","Chimwemwe,Icengelo,Sun FM",Icengelo,Icengelo,Icengelo,Icengelo
Chimwemwe,60608396,,,"Chimwemwe,Icengelo,Phoenix,Radio 4,Sun FMFM, BBC,Flava FM,Jive,Q FM,Radio 1,Radio 2,Radio Christian Voice,Yar,","Chimwemwe,Icengelo,Phoenix,Radio 4,Sun FMFM, BBC,Flava FM,Jive,Q FM,Radio 1,Radio 2,Radio Christian Voice,Yar,","Chimwemwe,Flava FM,Icengelo,Jive,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FM,Yar,",Sat,"Chimwemwe,Phoenix,Sun FM","Chimwemwe,Phoenix,Sun FM","Chimwemwe,Phoenix,Sun FM"
Sun FM,60608396,,,"Chimwemwe,Icengelo,Phoenix,Radio 4,Sun FMFM, BBC,Flava FM,Jive,Q FM,Radio 1,Radio 2,Radio Christian Voice,Yar,","Chimwemwe,Icengelo,Phoenix,Radio 4,Sun FMFM, BBC,Flava FM,Jive,Q FM,Radio 1,Radio 2,Radio Christian Voice,Yar,","Chimwemwe,Flava FM,Icengelo,Jive,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FM,Yar,",Sat,"Chimwemwe,Phoenix,Sun FM","Chimwemwe,Phoenix,Sun FM","Chimwemwe,Phoenix,Sun FM"
Phoenix,60608396,,,"Chimwemwe,Icengelo,Phoenix,Radio 4,Sun FMFM, BBC,Flava FM,Jive,Q FM,Radio 1,Radio 2,Radio Christian Voice,Yar,","Chimwemwe,Icengelo,Phoenix,Radio 4,Sun FMFM, BBC,Flava FM,Jive,Q FM,Radio 1,Radio 2,Radio Christian Voice,Yar,","Chimwemwe,Flava FM,Icengelo,Jive,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FM,Yar,",Sat,"Chimwemwe,Phoenix,Sun FM","Chimwemwe,Phoenix,Sun FM","Chimwemwe,Phoenix,Sun FM"
Sun FM,60608398,,,"Chimwemwe,Icengelo,Phoenix,Sun FMFM, BBC,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,Radio 4,","Chimwemwe,Icengelo,Phoenix,Sun FMFM, BBC,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,Radio 4,","BBC,Chimwemwe,Icengelo,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FM,Radio 1,Radio 2,Radio 4",,Sat,"Radio 1,Sun FM","Radio 1,Sun FM"
Radio Christian Voice,60608400,,,"Chimwemwe,Radio 2,Radio 2, Icengelo,Iwave,Parliament,Phoenix,Q FM,Radio 1,Radio 4,Radio Christian Voice,Sun FMFM,Yar,Radio 1,Radio 4,Radio 1,","Chimwemwe,Radio 2,Radio 2, Icengelo,Iwave,Parliament,Phoenix,Q FM,Radio 1,Radio 4,Radio Christian Voice,Sun FMFM,Yar,Radio 1,Radio 4,Radio 1,","Phoenix,Radio Christian Voice,Sun FM",,Radio Christian Voice,"Phoenix,Radio Christian Voice,Sun FM","Phoenix,Radio Christian Voice,Sun FM"
Phoenix,60608434,,,"Icengelo,Phoenix,Radio 1,Radio 2,Radio 4, Iwave,Kokoliko,","Icengelo,Phoenix,Radio 1,Radio 2,Radio 4, Iwave,Kokoliko,","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4",Phoenix,"Kokoliko,Phoenix","Kokoliko,Phoenix,Radio 1,Radio 1","Kokoliko,Phoenix,Radio 1,Radio 2"
Kokoliko,60608434,,,"Icengelo,Phoenix,Radio 1,Radio 2,Radio 4, Iwave,Kokoliko,","Icengelo,Phoenix,Radio 1,Radio 2,Radio 4, Iwave,Kokoliko,","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4",Phoenix,"Kokoliko,Phoenix","Kokoliko,Phoenix,Radio 1,Radio 1","Kokoliko,Phoenix,Radio 1,Radio 2"
Radio 1,60610456,,,"Icengelo,Radio 1,Radio 4,Yar, BBC,Flava FM,Parliament,Phoenix,Radio 2,Radio Christian Voice,Radio 1,Radio 2,Radio 4,Radio 1,","Icengelo,Radio 1,Radio 4,Yar, BBC,Flava FM,Parliament,Phoenix,Radio 2,Radio Christian Voice,Radio 1,Radio 2,Radio 4,Radio 1,","Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice",,Radio 1,"Icengelo,Radio 1","Icengelo,Radio 1,Radio 2,Radio 4"
Phoenix,60610620,,,"Chimwemwe,Flava FM,Icengelo,Jive,Radio Christian Voice,Sun FMFM, Kokoliko,Phoenix,Radio 4,Yar,","Chimwemwe,Flava FM,Icengelo,Jive,Radio Christian Voice,Sun FMFM, Kokoliko,Phoenix,Radio 4,Yar,","Chimwemwe,Flava FM,Icengelo,Jive,Phoenix,Sun FM,","Jive,Sun FM","Jive,Phoenix,Sun FM","Jive,Sun FM","Jive,Sun FM"
Sun FM,60610620,,,"Chimwemwe,Flava FM,Icengelo,Jive,Radio Christian Voice,Sun FMFM, Kokoliko,Phoenix,Radio 4,Yar,","Chimwemwe,Flava FM,Icengelo,Jive,Radio Christian Voice,Sun FMFM, Kokoliko,Phoenix,Radio 4,Yar,","Chimwemwe,Flava FM,Icengelo,Jive,Phoenix,Sun FM,","Jive,Sun FM","Jive,Phoenix,Sun FM","Jive,Sun FM","Jive,Sun FM"
Jive,60610620,,,"Chimwemwe,Flava FM,Icengelo,Jive,Radio Christian Voice,Sun FMFM, Kokoliko,Phoenix,Radio 4,Yar,","Chimwemwe,Flava FM,Icengelo,Jive,Radio Christian Voice,Sun FMFM, Kokoliko,Phoenix,Radio 4,Yar,","Chimwemwe,Flava FM,Icengelo,Jive,Phoenix,Sun FM,","Jive,Sun FM","Jive,Phoenix,Sun FM","Jive,Sun FM","Jive,Sun FM"
Komboni,60610940,,,"Ama,Komboni Radio,Radio 4,Radio 1, 5FM,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Millennium,Modern voice,Parliament,Q FM,Radio 1,Radio 2,Roots,Radio 2,Radio 4,","Ama,Komboni Radio,Radio 4,Radio 1, 5FM,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Millennium,Modern voice,Parliament,Q FM,Radio 1,Radio 2,Roots,Radio 2,Radio 4,","5FM,Ama,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Modern voice,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Roots,Radio 1,Radio 2,Radio 4,","Komboni Radio,Radio 1","Ama,Komboni Radio,Radio 1","Ama,Komboni Radio,Radio 1","5FM,Ama,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Modern voice,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Roots,Radio 1,Radio 2,Radio 4,Radio 4"
Ama,60610940,,,"Ama,Komboni Radio,Radio 4,Radio 1, 5FM,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Millennium,Modern voice,Parliament,Q FM,Radio 1,Radio 2,Roots,Radio 2,Radio 4,","Ama,Komboni Radio,Radio 4,Radio 1, 5FM,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Millennium,Modern voice,Parliament,Q FM,Radio 1,Radio 2,Roots,Radio 2,Radio 4,","5FM,Ama,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Modern voice,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Roots,Radio 1,Radio 2,Radio 4,","Komboni Radio,Radio 1","Ama,Komboni Radio,Radio 1","Ama,Komboni Radio,Radio 1","5FM,Ama,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Modern voice,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Roots,Radio 1,Radio 2,Radio 4,Radio 4"
Radio 1,60610940,,,"Ama,Komboni Radio,Radio 4,Radio 1, 5FM,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Millennium,Modern voice,Parliament,Q FM,Radio 1,Radio 2,Roots,Radio 2,Radio 4,","Ama,Komboni Radio,Radio 4,Radio 1, 5FM,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Millennium,Modern voice,Parliament,Q FM,Radio 1,Radio 2,Roots,Radio 2,Radio 4,","5FM,Ama,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Modern voice,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Roots,Radio 1,Radio 2,Radio 4,","Komboni Radio,Radio 1","Ama,Komboni Radio,Radio 1","Ama,Komboni Radio,Radio 1","5FM,Ama,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Modern voice,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Roots,Radio 1,Radio 2,Radio 4,Radio 4"
Maranatha,60611001,,,"Maranatha,Phoenix,Radio 1,Radio 2, KNC,Radio Christian Voice,","Maranatha,Phoenix,Radio 1,Radio 2, KNC,Radio Christian Voice,","Maranatha,Radio 1,Radio 2",Maranatha,"Maranatha,Radio 1,Radio 1","Maranatha,Radio 1,Radio 1","Maranatha,Radio 1,Radio 2"
Radio 1,60611001,,,"Maranatha,Phoenix,Radio 1,Radio 2, KNC,Radio Christian Voice,","Maranatha,Phoenix,Radio 1,Radio 2, KNC,Radio Christian Voice,","Maranatha,Radio 1,Radio 2",Maranatha,"Maranatha,Radio 1,Radio 1","Maranatha,Radio 1,Radio 1","Maranatha,Radio 1,Radio 2"
Radio Christian Voice,60611002,,,"Radio 1,Radio 2, Radio Christian Voice,","Radio 1,Radio 2, Radio Christian Voice,","Radio 1,Radio 2,Radio Christian Voice",Radio 1,"Radio 1,Radio 2,Radio Christian Voice","Radio 1,Radio 2,Radio Christian Voice","Radio 1,Radio 2,Radio Christian Voice"
Radio 2,60611002,,,"Radio 1,Radio 2, Radio Christian Voice,","Radio 1,Radio 2, Radio Christian Voice,","Radio 1,Radio 2,Radio Christian Voice",Radio 1,"Radio 1,Radio 2,Radio Christian Voice","Radio 1,Radio 2,Radio Christian Voice","Radio 1,Radio 2,Radio Christian Voice"
Radio 1,60611002,,,"Radio 1,Radio 2, Radio Christian Voice,","Radio 1,Radio 2, Radio Christian Voice,","Radio 1,Radio 2,Radio Christian Voice",Radio 1,"Radio 1,Radio 2,Radio Christian Voice","Radio 1,Radio 2,Radio Christian Voice","Radio 1,Radio 2,Radio Christian Voice"
Radio 1,60611003,,,"KNC,Radio 1,Radio 2, Phoenix,Radio Christian Voice,","KNC,Radio 1,Radio 2, Phoenix,Radio Christian Voice,","KNC,Radio 1,Radio 2",Radio 1,"KNC,Radio 1,Radio 1","KNC,Radio 1,Radio 1","KNC,Radio 1,Radio 2"
KNC,60611003,,,"KNC,Radio 1,Radio 2, Phoenix,Radio Christian Voice,","KNC,Radio 1,Radio 2, Phoenix,Radio Christian Voice,","KNC,Radio 1,Radio 2",Radio 1,"KNC,Radio 1,Radio 1","KNC,Radio 1,Radio 1","KNC,Radio 1,Radio 2"
Q FM,60611355,,,"KNC,Power,Q FM,Radio 2,Radio 4,Cloud FM,BBC,Phoenix,","KNC,Power,Q FM,Radio 2,Radio 4,Cloud FM,BBC,Phoenix,","BBC,Phoenix,Power,Q FM,Radio 2,Radio 4,",,Q FM,Power,"BBC,Phoenix,Power,Q FM,Radio 2,Radio 4"
Power,60611357,,,"Power,Cloud FM,KNC,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,","Power,Cloud FM,KNC,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,","KNC,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,,",KNC,"Power,","KNC,Phoenix,Power","KNC,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,"
Radio 4,60611358,,,"KNC,Maranatha,Cloud FM,Phoenix,Radio 4,","KNC,Maranatha,Cloud FM,Phoenix,Radio 4,","KNC,Maranatha,Phoenix,Radio 4,",KNC,"Radio 4,","KNC,Maranatha,Phoenix,Radio 4,","KNC,Maranatha,Phoenix,Radio 4,"
Radio 1,60611721,,,"Icengelo,Yar, Radio 1,","Icengelo,Yar, Radio 1,",Radio 1,Radio 1,Radio 1,Radio 1,Radio 1
Maranatha,60612537,,,"Maranatha,Radio 1,Radio 2,Radio Christian Voice, BBC,Phoenix,","Maranatha,Radio 1,Radio 2,Radio Christian Voice, BBC,Phoenix,","Maranatha,Radio 1,Radio 2",,"Maranatha,Radio 1","Maranatha,Radio 1,Radio 1","Maranatha,Radio 1,Radio 2"
Radio 1,60612537,,,"Maranatha,Radio 1,Radio 2,Radio Christian Voice, BBC,Phoenix,","Maranatha,Radio 1,Radio 2,Radio Christian Voice, BBC,Phoenix,","Maranatha,Radio 1,Radio 2",,"Maranatha,Radio 1","Maranatha,Radio 1,Radio 1","Maranatha,Radio 1,Radio 2"
Radio 1,60612538,,,"Radio 2, KNC,Phoenix,Q FM,Radio 1,Radio 2,","Radio 2, KNC,Phoenix,Q FM,Radio 1,Radio 2,","KNC,Radio 1,Radio 2",,Radio 1,Radio 1,Radio 1
Maranatha,60612539,,,"Phoenix,Q FM,Radio 1,Komboni Radio,KNC,BBC,Blue Sky FM,Maranatha,Power,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Phoenix,Q FM,Radio 1,Komboni Radio,KNC,BBC,Blue Sky FM,Maranatha,Power,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Maranatha,Phoenix,Q FM,Radio 1,",Q FM,"Maranatha,Q FM","Maranatha,Q FM,Radio 1","Maranatha,Phoenix,Q FM,Radio 1"
Q FM,60612539,,,"Phoenix,Q FM,Radio 1,Komboni Radio,KNC,BBC,Blue Sky FM,Maranatha,Power,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Phoenix,Q FM,Radio 1,Komboni Radio,KNC,BBC,Blue Sky FM,Maranatha,Power,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Maranatha,Phoenix,Q FM,Radio 1,",Q FM,"Maranatha,Q FM","Maranatha,Q FM,Radio 1","Maranatha,Phoenix,Q FM,Radio 1"
Radio 2,60612540,,,"KNC,Maranatha,Q FM,Radio 1, BBC,Phoenix,Radio 2,Radio 4,Radio Christian Voice,","KNC,Maranatha,Q FM,Radio 1, BBC,Phoenix,Radio 2,Radio 4,Radio Christian Voice,","KNC,Phoenix,Radio 1,Radio 4,",Radio 2,Radio 2,"KNC,Phoenix,Radio 1,Radio 2","KNC,Phoenix,Radio 1,Radio 4"
Phoenix,60612542,,,"KNC,Maranatha,Phoenix,Q FM,Radio 1,Radio 2,Nmano,BBC,Joy,Mkushi FM, Money FM,Radio 4,Radio Christian Voice,","KNC,Maranatha,Phoenix,Q FM,Radio 1,Radio 2,Nmano,BBC,Joy,Mkushi FM, Money FM,Radio 4,Radio Christian Voice,","Maranatha,Phoenix,Radio 1,Radio 2,Radio Christian Voice,,",Radio 1,"Phoenix,Radio 2,Radio Christian Voice","Maranatha,Phoenix,Radio 1,Radio 2,Radio Christian Voice","Maranatha,Phoenix,Radio 1,Radio 2,Radio Christian Voice,"
Radio 2,60612542,,,"KNC,Maranatha,Phoenix,Q FM,Radio 1,Radio 2,Nmano,BBC,Joy,Mkushi FM, Money FM,Radio 4,Radio Christian Voice,","KNC,Maranatha,Phoenix,Q FM,Radio 1,Radio 2,Nmano,BBC,Joy,Mkushi FM, Money FM,Radio 4,Radio Christian Voice,","Maranatha,Phoenix,Radio 1,Radio 2,Radio Christian Voice,,",Radio 1,"Phoenix,Radio 2,Radio Christian Voice","Maranatha,Phoenix,Radio 1,Radio 2,Radio Christian Voice","Maranatha,Phoenix,Radio 1,Radio 2,Radio Christian Voice,"
Radio Christian Voice,60612542,,,"KNC,Maranatha,Phoenix,Q FM,Radio 1,Radio 2,Nmano,BBC,Joy,Mkushi FM, Money FM,Radio 4,Radio Christian Voice,","KNC,Maranatha,Phoenix,Q FM,Radio 1,Radio 2,Nmano,BBC,Joy,Mkushi FM, Money FM,Radio 4,Radio Christian Voice,","Maranatha,Phoenix,Radio 1,Radio 2,Radio Christian Voice,,",Radio 1,"Phoenix,Radio 2,Radio Christian Voice","Maranatha,Phoenix,Radio 1,Radio 2,Radio Christian Voice","Maranatha,Phoenix,Radio 1,Radio 2,Radio Christian Voice,"
Radio 4,60612959,,,"Radio Christian Voice,Millennium,Phoenix,Radio 1,Radio 2,Radio 4,United Voice,UNZA Radio, 5FM,Evelyn, Hone,Hot,Komboni Radio,Q FM,Yatsani, Yangeni FM,","Radio Christian Voice,Millennium,Phoenix,Radio 1,Radio 2,Radio 4,United Voice,UNZA Radio, 5FM,Evelyn, Hone,Hot,Komboni Radio,Q FM,Yatsani, Yangeni FM,","Radio Christian Voice,Millennium,Phoenix,Radio 1,Radio 4,United Voice,UNZA Radio",United Voice,"Millennium,Phoenix,Radio 4,United Voice","Radio Christian Voice,Millennium,Phoenix,Radio 4,United Voice","Radio Christian Voice,Millennium,Phoenix,Radio 1,Radio 4,United Voice,UNZA Radio"
Millennium,60612959,,,"Radio Christian Voice,Millennium,Phoenix,Radio 1,Radio 2,Radio 4,United Voice,UNZA Radio, 5FM,Evelyn, Hone,Hot,Komboni Radio,Q FM,Yatsani, Yangeni FM,","Radio Christian Voice,Millennium,Phoenix,Radio 1,Radio 2,Radio 4,United Voice,UNZA Radio, 5FM,Evelyn, Hone,Hot,Komboni Radio,Q FM,Yatsani, Yangeni FM,","Radio Christian Voice,Millennium,Phoenix,Radio 1,Radio 4,United Voice,UNZA Radio",United Voice,"Millennium,Phoenix,Radio 4,United Voice","Radio Christian Voice,Millennium,Phoenix,Radio 4,United Voice","Radio Christian Voice,Millennium,Phoenix,Radio 1,Radio 4,United Voice,UNZA Radio"
