,Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Listenership,Radio Listenership - Mobile Phone,Radio Listeners (P7D - Past 7 Days)
2958,Nothern FM,134624357,Northern,Mungwi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 7 Days,Never,"Lutanda,Nmano,Nothern FM,"
2959,Lutanda,134624359,Northern,Mungwi,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Lutanda,Nmano,"
2960,Nmano,134624359,Northern,Mungwi,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Lutanda,Nmano,"
2961,Lutanda,134624361,Northern,Mungwi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Lutanda,Nmano,Nothern FM,"
2962,Nmano,134624361,Northern,Mungwi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Lutanda,Nmano,Nothern FM,"
2963,Nothern FM,134624361,Northern,Mungwi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Lutanda,Nmano,Nothern FM,"
2964,Lutanda,134659929,Northern,Mungwi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Past 4 Weeks,Never,"Radio 4,Lutanda,"
2965,Radio 4,134659929,Northern,Mungwi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Past 4 Weeks,Never,"Radio 4,Lutanda,"
2966,Nothern FM,134660385,Northern,Mungwi,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,35 – 44,Past 7 Days,Never,"Nothern FM,"
2967,Lutanda,134663391,Northern,Mungwi,Rural,Male,1,,D,No formal education,Christian,Not employed,D,Under K 849,,45+,Past 4 Weeks,Never,"Lutanda,Nmano,"
2968,Nmano,134663391,Northern,Mungwi,Rural,Male,1,,D,No formal education,Christian,Not employed,D,Under K 849,,45+,Past 4 Weeks,Never,"Lutanda,Nmano,"
2969,Radio 1,134663394,Northern,Mungwi,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Radio 1,"
2970,Lutanda,134666502,Northern,Mungwi,Rural,Male,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,45+,Yesterday,Never,"Lutanda,Nmano,"
2971,Nmano,134666502,Northern,Mungwi,Rural,Male,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,45+,Yesterday,Never,"Lutanda,Nmano,"
2972,Nmano,134816928,Northern,Mungwi,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 12 Months,Never,"Nmano,"
2973,Radio 1,134817319,Northern,Mungwi,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Radio 1,"
2974,Nmano,134874941,Northern,Kasama,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Past 4 Weeks,Never,"Nmano,"
2975,Nmano,134875907,Northern,Kasama,Rural,Female,2,,D,No formal education,Christian,Not employed,D,Under K 849,,25 – 34,Past 12 Months,Never,"Nmano,"
2976,Lutanda,134914647,Northern,Kasama,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 12 Months,Never,"Lutanda,"
2977,Lutanda,134914652,Northern,Kasama,Rural,Male,2,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 12 Months,Never,"Lutanda,"
2978,Nmano,134950710,Northern,Kasama,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Yesterday,Never,"Nmano,"
2979,Radio 1,134988363,Northern,Kasama,Rural,Male,1,,D,No formal education,Christian,Not employed,D,Under K 849,,45+,Past 4 Weeks,Never,"Radio 1,"
2980,Lutanda,135037029,Northern,Kasama,Rural,Female,1,,D,No formal education,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"Lutanda,"
2981,Lutanda,135037033,Northern,Kasama,Rural,Female,2,,D,No formal education,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Lutanda,"
2982,Lutanda,135037042,Northern,Kasama,Rural,Female,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 7 Days,Never,"Lutanda,"
2983,Radio 1,135076070,Northern,Kasama,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 12 Months,Never,"Radio 1,"
2984,Lutanda,135076199,Northern,Kasama,Rural,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"Lutanda,"
2985,Nmano,135076202,Northern,Kasama,Rural,Female,2,,D,No formal education,Christian,Not employed,D,Under K 849,,25 – 34,Past 7 Days,Never,"Nmano,"
2986,Radio 4,135041671,Muchinga,Mafinga,Rural,Female,1,,D,No formal education,Christian,Not employed,D,Under K 849,,25 – 34,Past 7 Days,Never,"Radio 4,"
2987,Isoka,134698863,Muchinga,Isoka,Urban,Female,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,35 – 44,Yesterday,Never,"Isoka,"
2988,Mpika,134888497,Muchinga,Mpika,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Past 4 Weeks,Never,"Mpika,"
2989,Muchinga,135137673,Muchinga,Chinsali,Rural,Female,1,,D,No formal education,Christian,Not employed,D,Under K 849,,35 – 44,Past 7 Days,Never,"Muchinga,"
2990,Mpika,134920573,Muchinga,Mpika,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Mpika,"
2991,Mpika,134941924,Muchinga,Mpika,Rural,Female,3,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Mpika,"
2992,Radio 1,134941924,Muchinga,Mpika,Rural,Female,3,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Mpika,"
2993,Isoka,134692247,Muchinga,Isoka,Urban,Female,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 7 Days,Never,"Isoka,"
2994,Nakonde,134703442,Muchinga,Isoka,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,Yesterday,Never,",Nakonde"
2995,Mpika,134914235,Muchinga,Mpika,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Yesterday,Never,"Mpika,"
2996,Mpika,134956882,Muchinga,Mpika,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Yesterday,Never,"Radio 1,Mpika,"
2997,Radio 1,134956882,Muchinga,Mpika,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Yesterday,Never,"Radio 1,Mpika,"
2998,Isoka,135138195,Muchinga,Chinsali,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 7 Days,Never,"Isoka,"
2999,Isoka,134698865,Muchinga,Isoka,Urban,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 7 Days,Never,"Isoka,"
3000,Parliament,135138194,Muchinga,Chinsali,Rural,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Parliament,"
3001,Mpika,134886399,Muchinga,Mpika,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,Never,Never,"Mpika,"
3002,Radio 2,134956881,Muchinga,Mpika,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Yesterday,Never,"Radio 2,"
3003,Muchinga,135078846,Muchinga,Chinsali,Urban,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Yesterday,Never,"Muchinga,"
3004,Mpika,134902827,Muchinga,Mpika,Urban,Female,3,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 7 Days,Never,",Radio 2,Mpika,"
3005,Radio 2,134902827,Muchinga,Mpika,Urban,Female,3,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 7 Days,Never,",Radio 2,Mpika,"
3006,Muchinga,135116542,Muchinga,Chinsali,Rural,Male,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,Yesterday,Never,"Muchinga,"
3007,Muchinga,135116990,Muchinga,Chinsali,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,35 – 44,Yesterday,Never,"Muchinga,"
3008,Muchinga,134627013,Muchinga,Isoka,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Muchinga,"
3009,Mpika,134869461,Muchinga,Mpika,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Past 7 Days,Never,"Mpika,"
3010,Mpika,134903640,Muchinga,Mpika,Urban,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 12 Months,Never,"Radio 1,Radio 2,Mpika,"
3011,Radio 2,134903640,Muchinga,Mpika,Urban,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 12 Months,Never,"Radio 1,Radio 2,Mpika,"
3012,Radio 1,134903640,Muchinga,Mpika,Urban,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 12 Months,Never,"Radio 1,Radio 2,Mpika,"
3013,Radio 1,134914238,Muchinga,Mpika,Rural,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,35 – 44,Past 4 Weeks,Never,"Radio 1,"
3014,Mpika,134946295,Muchinga,Mpika,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Yesterday,Never,"Radio 1,Mpika,"
3015,Radio 1,134946295,Muchinga,Mpika,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Yesterday,Never,"Radio 1,Mpika,"
3016,Mpika,134956880,Muchinga,Mpika,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Past 4 Weeks,Never,"Mpika,"
3017,Mpika,134956883,Muchinga,Mpika,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 12 Months,Never,"Radio 1,Mpika,"
3018,Radio 1,134956883,Muchinga,Mpika,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 12 Months,Never,"Radio 1,Mpika,"
3019,BBC,134977176,Muchinga,Mpika,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 12 Months,Never,"BBC,"
3020,Mpika,134988273,Muchinga,Mpika,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 12 Months,Never,"Mpika,"
3021,Muchinga,135116992,Muchinga,Chinsali,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 12 Months,Never,"Muchinga,"
3022,Muchinga,135117489,Muchinga,Chinsali,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 7 Days,Never,"Muchinga,"
3023,Muchinga,135137857,Muchinga,Chinsali,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 4 Weeks,Never,"Muchinga,"
3024,Muchinga,135142930,Muchinga,Chinsali,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,45+,Past 12 Months,Never,"Muchinga,"
3025,Radio 1,134843950,Luapula,Mansa,Urban,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Never,Never,"Radio 1,"
3026,Radio 1,134912076,Luapula,Mansa,Rural,Female,2,,D,Other (specify) …….,Christian,Not employed,D,Under K 849,,19 – 24,Past 7 Days,Never,"Radio 1,"
3027,Lubuto,134751728,Luapula,Nchelenge,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,35 – 44,Past 12 Months,Never,"Lubuto,"
3028,Radio 1,134760800,Luapula,Nchelenge,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 12 Months,Never,"Radio 1,"
3029,Radio 2,134703772,Luapula,Nchelenge,Urban,Male,2,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 7 Days,Never,"Radio 2,"
3030,Parliament,134951691,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Yesterday,Never,",Parliament,Yangeni,"
3031,Yangeni,134951691,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Yesterday,Never,",Parliament,Yangeni,"
3032,Tuta,134952288,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 7 Days,Never,"Tuta,"
3033,Radio 1,134846313,Luapula,Mansa,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,Yesterday,Never,"Radio 1,"
3034,Nchelenge,134762533,Luapula,Nchelenge,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Yesterday,Past 4 Weeks,"Nchelenge,"
3035,Radio 1,134952292,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,45+,Past 12 Months,Never,"Radio 1,"
3036,Luapula,134751748,Luapula,Nchelenge,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Yesterday,Never,"Luapula,"
3037,Luapula,134753766,Luapula,Nchelenge,Rural,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,35 – 44,Past 7 Days,Never,"Luapula,"
3038,Radio 2,134914668,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 4 Weeks,Never,"Radio 1,Radio 2,"
3039,Radio 1,134914668,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 4 Weeks,Never,"Radio 1,Radio 2,"
3040,KFM,134874774,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"KFM,"
3041,Yangeni,134873121,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Yangeni,"
3042,Yangeni,134980350,Luapula,Kawambwa,Rural,Male,2,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Tuta,Yangeni,"
3043,Tuta,134980350,Luapula,Kawambwa,Rural,Male,2,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Tuta,Yangeni,"
3044,Radio 1,135118609,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Radio 1,"
3045,Luapula,134751746,Luapula,Nchelenge,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Yesterday,Never,"Luapula,"
3046,KFM,134923735,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,Yesterday,Never,"KFM,"
3047,Luapula,134751346,Luapula,Nchelenge,Rural,Male,2,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Luapula,"
3048,Tuta,134918449,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Tuta,"
3049,Tuta,134864538,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Yesterday,Never,"Tuta,"
3050,KFM,134803652,Luapula,Mansa,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,15 – 18,Past 4 Weeks,Never,"KFM,"
3051,Yangeni,134803748,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Tuta,Yangeni,"
3052,Tuta,134803748,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Tuta,Yangeni,"
3053,KFM,134955405,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,15 – 18,Past 7 Days,Never,"Radio 1,KFM,Yangeni,"
3054,Yangeni,134955405,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,15 – 18,Past 7 Days,Never,"Radio 1,KFM,Yangeni,"
3055,Radio 1,134955405,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,15 – 18,Past 7 Days,Never,"Radio 1,KFM,Yangeni,"
3056,Radio 1,135117527,Luapula,Samfya,Rural,Female,1,,D,No formal education,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 4 Weeks,Past 12 Months,"Radio 1,"
3057,KFM,134955408,Luapula,Mansa,Rural,Male,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,Yesterday,Past 12 Months,"Radio 1,KFM,"
3058,Radio 1,134955408,Luapula,Mansa,Rural,Male,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,Yesterday,Past 12 Months,"Radio 1,KFM,"
3059,Parliament,134911445,Luapula,Mansa,Rural,Male,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 7 Days,Never,"Parliament,"
3060,KFM,134991603,Luapula,Kawambwa,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 12 Months,Never,"KFM,"
3061,Radio 1,134917845,Luapula,Mansa,Rural,Male,1,,D,No formal education,Christian,Employed for cash,D,Under K 849,,35 – 44,Yesterday,Never,"Radio 1,"
3062,Radio 2,134946811,Luapula,Mansa,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 2,"
3063,Tuta,134952294,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Yesterday,Never,"Tuta,"
3064,Parliament,134949329,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Radio 2,KFM,Parliament,Tuta,Yangeni,"
3065,Radio 2,134949329,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Radio 2,KFM,Parliament,Tuta,Yangeni,"
3066,Tuta,134949329,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Radio 2,KFM,Parliament,Tuta,Yangeni,"
3067,Radio 1,134949329,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Radio 2,KFM,Parliament,Tuta,Yangeni,"
3068,Yangeni,134949329,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Radio 2,KFM,Parliament,Tuta,Yangeni,"
3069,KFM,134949329,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Radio 2,KFM,Parliament,Tuta,Yangeni,"
3070,Tuta,134918457,Luapula,Mansa,Rural,Female,1,,D,No formal education,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Tuta,"
3071,Luapula,134761218,Luapula,Nchelenge,Rural,Female,2,,D,No formal education,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Luapula,"
3072,KFM,134871715,Luapula,Mansa,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,45+,Past 7 Days,Past 12 Months,"KFM,"
3073,Yangeni,134991962,Luapula,Kawambwa,Rural,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Never,Never,"Yangeni,"
3074,Bangwela,135075974,Luapula,Samfya,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 12 Months,Never,"Bangwela,"
3075,Yangeni,134951481,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Yesterday,Never,"Yangeni,"
3076,Radio 1,134750372,Luapula,Nchelenge,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,35 – 44,Past 12 Months,Never,"Radio 1,"
3077,Tuta,134955406,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Tuta,"
3078,Radio 1,134955406,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Tuta,"
3079,Yangeni,134816268,Luapula,Mansa,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,45+,Past 7 Days,Never,"Yangeni,"
3080,Parliament,134939837,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,",Radio 2,Parliament,Tuta,"
3081,Radio 2,134939837,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,",Radio 2,Parliament,Tuta,"
3082,Tuta,134939837,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,",Radio 2,Parliament,Tuta,"
3083,Bangwela,135117533,Luapula,Samfya,Rural,Male,1,,D,No formal education,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 7 Days,Never,"Bangwela,"
3084,KFM,134840131,Luapula,Mansa,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Yesterday,Never,"KFM,Tuta,"
3085,Tuta,134840131,Luapula,Mansa,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Yesterday,Never,"KFM,Tuta,"
3086,Bangwela,135118606,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Radio 1,Radio 2,Bangwela"
3087,Radio 2,135118606,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Radio 1,Radio 2,Bangwela"
3088,Radio 1,135118606,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Radio 1,Radio 2,Bangwela"
3089,Yangeni,134844225,Luapula,Mansa,Urban,Female,2,,D,Primary,Christian,Employed not for cash,D,Under K 849,,25 – 34,Past 7 Days,Never,"Yangeni,"
3090,KFM,134955411,Luapula,Mansa,Rural,Male,2,,D,Tertiary,Christian,Employed for cash,D,Under K 849,,15 – 18,Yesterday,Never,"Radio 1,KFM,Tuta,Yangeni,"
3091,Yangeni,134955411,Luapula,Mansa,Rural,Male,2,,D,Tertiary,Christian,Employed for cash,D,Under K 849,,15 – 18,Yesterday,Never,"Radio 1,KFM,Tuta,Yangeni,"
3092,Tuta,134955411,Luapula,Mansa,Rural,Male,2,,D,Tertiary,Christian,Employed for cash,D,Under K 849,,15 – 18,Yesterday,Never,"Radio 1,KFM,Tuta,Yangeni,"
3093,Radio 1,134955411,Luapula,Mansa,Rural,Male,2,,D,Tertiary,Christian,Employed for cash,D,Under K 849,,15 – 18,Yesterday,Never,"Radio 1,KFM,Tuta,Yangeni,"
3094,Bangwela,135149959,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Yesterday,Never,"Radio 1,Bangwela"
3095,Radio 1,135149959,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Yesterday,Never,"Radio 1,Bangwela"
3096,Luapula,135149813,Luapula,Samfya,Urban,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,",Radio 2,Luapula,Yangeni,"
3097,Radio 2,135149813,Luapula,Samfya,Urban,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,",Radio 2,Luapula,Yangeni,"
3098,Yangeni,135149813,Luapula,Samfya,Urban,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,",Radio 2,Luapula,Yangeni,"
3099,Yangeni,134912075,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,",Bangwela,Tuta,Yangeni,"
3100,Bangwela,134912075,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,",Bangwela,Tuta,Yangeni,"
3101,Tuta,134912075,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,",Bangwela,Tuta,Yangeni,"
3102,Luapula,134698372,Luapula,Nchelenge,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Radio 2,Radio 4,Luapula,"
3103,Radio 4,134698372,Luapula,Nchelenge,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Radio 2,Radio 4,Luapula,"
3104,Radio 2,134698372,Luapula,Nchelenge,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Radio 2,Radio 4,Luapula,"
3105,Radio 1,134698372,Luapula,Nchelenge,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Radio 2,Radio 4,Luapula,"
3106,Radio 2,134748426,Luapula,Nchelenge,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Yesterday,Never,"Radio 1,Radio 2,"
3107,Radio 1,134748426,Luapula,Nchelenge,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Yesterday,Never,"Radio 1,Radio 2,"
3108,Yangeni,134809009,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Yangeni,"
3109,KFM,134868845,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 7 Days,Never,"KFM,Tuta,Yangeni,"
3110,Yangeni,134868845,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 7 Days,Never,"KFM,Tuta,Yangeni,"
3111,Tuta,134868845,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 7 Days,Never,"KFM,Tuta,Yangeni,"
3112,KFM,134883042,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Never,Never,"KFM,Tuta,Yangeni,"
3113,Yangeni,134883042,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Never,Never,"KFM,Tuta,Yangeni,"
