Icengelo  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Icengelo  Thursday
6:45  -  6:59,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
7:00  -  7:14,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:00  -  6:14,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:30  -  6:44,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
20:30  -  20:44,82292843,Copperbelt,Kitwe,Urban,Male,1,None,C2,Some university,Other Christian,A business owner,C2,Under K 849,Yes,19 – 24,20:30  -  20:44
12:30  -  12:44,82366369,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,12:30  -  12:44
20:30  -  20:44,82366370,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,20:30  -  20:44
21:00  -  21:14,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:30  -  21:44,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:45  -  20:59,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
18:15  -  18:29,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
18:30  -  18:44,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:45  -  21:59,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
18:45  -  18:59,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:15  -  21:29,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
6:15  -  6:29,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
8:00  -  8:14,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:30  -  20:44,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
21:00  -  21:14,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
7:15  -  7:29,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:45  -  20:59,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
6:45  -  6:59,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
7:00  -  7:14,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:15  -  20:29,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
6:00  -  6:14,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:00  -  20:14,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
6:30  -  6:44,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
7:30  -  7:44,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:00  -  20:14,82369480,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,20:00  -  20:14
20:00  -  20:14,82372511,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,20:00  -  20:14
18:00  -  18:14,82376054,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,18:00  -  18:14
19:00  -  19:14,82378693,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:00  -  18:14,82378693,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:15  -  18:29,82378693,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:30  -  18:44,82378693,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:45  -  18:59,82378693,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
15:00  -  15:14,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
16:00  -  16:14,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
15:45  -  15:59,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
15:30  -  15:44,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
15:15  -  15:29,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
21:00  -  21:14,82378695,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
19:00  -  19:14,82378695,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:30  -  20:44,82378695,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:45  -  20:59,82378695,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18:00  -  18:14,82378695,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18:15  -  18:29,82378695,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18:30  -  18:44,82378695,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18:45  -  18:59,82378695,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
19:00  -  19:14,82378696,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some high school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:00  -  18:14,82378696,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some high school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:15  -  18:29,82378696,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some high school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:30  -  18:44,82378696,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some high school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:45  -  18:59,82378696,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some high school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
8:45  -  8:59,82379652,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:30  -  8:44,82379652,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:30  -  9:44,82379652,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:45  -  9:59,82379652,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
10:00  -  10:14,82379652,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:15  -  8:29,82379652,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:00  -  9:14,82379652,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:15  -  9:29,82379652,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
7:45  -  7:59,82382796,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,7:45  -  7:59
19:00  -  19:14,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:00  -  18:14,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:15  -  18:29,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:30  -  18:44,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:45  -  18:59,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:00  -  18:14,82449548,Copperbelt,Ndola,Urban,Female,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:15  -  18:29,82449548,Copperbelt,Ndola,Urban,Female,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:30  -  18:44,82449548,Copperbelt,Ndola,Urban,Female,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
10:30  -  10:44,82449714,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Muslim,Self employed,AB,"K 14,632 -  K 17,499",Yes,35 – 44,10:30  -  10:44
20:00  -  20:14,82456633,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,20:00  -  20:14
22:15  -  22:29,82456738,Copperbelt,Kitwe,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,Refusal [Do not show],Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29"
22:00  -  22:14,82456738,Copperbelt,Kitwe,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,Refusal [Do not show],Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29"
6:15  -  6:29,82458417,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,Do odd jobs or piece work,C1,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:45  -  6:59,82458417,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,Do odd jobs or piece work,C1,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
7:00  -  7:14,82458417,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,Do odd jobs or piece work,C1,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:00  -  6:14,82458417,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,Do odd jobs or piece work,C1,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:30  -  6:44,82458417,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,Do odd jobs or piece work,C1,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
20:30  -  20:44,82459343,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,20:30  -  20:44
2:15  -  2:29,82459984,Copperbelt,Kitwe,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,2:15  -  2:29
6:30  -  6:44,82498314,Copperbelt,Ndola,Urban,Male,2,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,35 – 44,"6:30  -  6:44,7:45  -  7:59,9:00  -  9:14"
7:45  -  7:59,82498314,Copperbelt,Ndola,Urban,Male,2,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,35 – 44,"6:30  -  6:44,7:45  -  7:59,9:00  -  9:14"
9:00  -  9:14,82498314,Copperbelt,Ndola,Urban,Male,2,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,35 – 44,"6:30  -  6:44,7:45  -  7:59,9:00  -  9:14"
8:00  -  8:14,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29"
8:15  -  8:29,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29"
6:30  -  6:44,82541841,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
7:30  -  7:44,82541841,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
7:00  -  7:14,82541841,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
7:15  -  7:29,82541841,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
