Icengelo  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Icengelo  Wednesday
12:00  -  12:14,82194313,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
11:15  -  11:29,82194313,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18:15  -  18:29,82194313,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18:30  -  18:44,82194313,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:15  -  20:29,82194313,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
7:00  -  7:14,82195184,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,7:00  -  7:14
20:45  -  20:59,82198340,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
21:00  -  21:14,82198340,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:30  -  20:44,82198340,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
9:00  -  9:14,82198882,Copperbelt,Kitwe,Urban,Male,1,None,C1,Some university,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,9:00  -  9:14
5:00  -  5:14,82203700,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,5:00  -  5:14
5:30  -  5:44,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
5:45  -  5:59,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
5:00  -  5:14,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
5:15  -  5:29,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
6:00  -  6:14,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
17:00  -  17:14,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:00  -  16:14,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:15  -  16:29,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:45  -  16:59,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:30  -  16:44,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
8:45  -  8:59,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:30  -  8:44,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:15  -  6:29,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:00  -  8:14,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:15  -  7:29,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:45  -  6:59,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:45  -  7:59,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:15  -  8:29,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:00  -  7:14,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
9:00  -  9:14,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:00  -  6:14,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:30  -  6:44,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:30  -  7:44,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
21:00  -  21:14,82273216,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some high school,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:30  -  20:44,82273216,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some high school,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:45  -  20:59,82273216,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some high school,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:15  -  20:29,82273216,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some high school,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:00  -  20:14,82273216,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some high school,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
5:00  -  5:14,82274452,Copperbelt,Kitwe,Urban,Female,1,None,C2,Primary school completed,Other Christian,A business owner,C2,K 850-K 1674,No,35 – 44,5:00  -  5:14
7:00  -  7:14,82274453,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,7:00  -  7:14
12:45  -  12:59,82278166,Copperbelt,Ndola,Urban,Female,2,One,C1,Completed high School,Muslim,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,19 – 24,12:45  -  12:59
14:15  -  14:29,82278491,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 2,500   -  K 3,154",Yes,35 – 44,14:15  -  14:29
18:00  -  18:14,82281434,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,19 – 24,18:00  -  18:14
2:15  -  2:29,82281742,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 5,365  -  K 6,102",Yes,25 – 34,"2:00  -  2:14,2:15  -  2:29"
2:00  -  2:14,82281742,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 5,365  -  K 6,102",Yes,25 – 34,"2:00  -  2:14,2:15  -  2:29"
9:15  -  9:29,82286032,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,9:15  -  9:29
19:00  -  19:14,82291924,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:00  -  18:14,82291924,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:15  -  18:29,82291924,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:30  -  18:44,82291924,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:45  -  18:59,82291924,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
19:00  -  19:14,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:00  -  18:14,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:15  -  18:29,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:30  -  18:44,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:45  -  18:59,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
19:00  -  19:14,82291926,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:00  -  18:14,82291926,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:15  -  18:29,82291926,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:30  -  18:44,82291926,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:45  -  18:59,82291926,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
6:15  -  6:29,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:45  -  6:59,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
7:00  -  7:14,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:00  -  6:14,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:30  -  6:44,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
20:30  -  20:44,82292843,Copperbelt,Kitwe,Urban,Male,1,None,C2,Some university,Other Christian,A business owner,C2,Under K 849,Yes,19 – 24,20:30  -  20:44
12:30  -  12:44,82366369,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,12:30  -  12:44
20:30  -  20:44,82366370,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,20:30  -  20:44
21:00  -  21:14,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:30  -  21:44,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:45  -  20:59,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
18:15  -  18:29,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
18:30  -  18:44,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:45  -  21:59,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
18:45  -  18:59,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:15  -  21:29,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
6:15  -  6:29,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
8:00  -  8:14,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:30  -  20:44,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
