SbjNum,Where Radio was Accessed P7D,Usuall Access to Radio,6 am to 9 am,9 am to 12 pm,12 pm to 3 pm,3 pm to 6 pm,6 pm to 9 pm,9 pm to 1 am,1 am to 6 am,Favourite Radio Station,Reasons for Favourite Radio Station,Preferred Day of the Week for Favourite Station,Type of Radio Programmes Liked,Other Types of Radio Programmes Liked,Preferred time for Music on radio,Other Preferred time for Music on radio,Stations Availability in your Area
60845875,At home,On a radio,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Do not listen at this time,New Generation,Good music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Agricultural issues,Sports Commentaries,Social/community programs e.g. people with special needs,", ,Early morning, ,"Beats,FCC Solwezi,Kabangabanga,New Generation,Radio Christian Voice"
60845876,At homeAt work (office field etc),On a radio,3 days per week,3 days per week,3 days per week,3 days per week,3 days per week,Less than that,Do not listen at this time,Radio 1,News and programs in different languages,Wednesday,"Politics,News/current affairs,Social/community programs e.g. people with special needs,Religious,Music shows,", ,Late evening, ,"Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60845877,At homeIn a car-private,On a radio,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Do not listen at this time,FCC Solwezi,Musical programs,"Monday,Tuesday,Wednesday,Thursday,Friday","Sports Commentaries,Social/community programs e.g. people with special needs,Health issues e.g. HIV / AIDS,Music shows,Gender issues,Politics,News/current affairs,Environmental issues,", ,Early morning, ,"Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4"
60845878,At homeIn a car-private,On a radio,Less than that,Do not listen at this time,Do not listen at this time,Less than that,4 days per week,4 days per week,Do not listen at this time,Radio Christian Voice,The Gospel,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Religious,Social/community programs e.g. people with special needs,Gender issues,Radio drama,Agricultural issues,Developmental issues e.g. building of roads,News/current affairs,Health issues e.g. HIV / AIDS,", ,Early morning, ,"FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60845879,At homeIn a car-private,On a radio,7 days per week,Do not listen at this time,Less than that,Do not listen at this time,Less than that,Less than that,Do not listen at this time,New Generation,Youthful programs and good music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Sports Commentaries,Religious,Politics,Music shows,Gender issues,", ,Early morning, ,"FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60845880,At homeIn a car-privatePrivate taxi,On a radio,7 days per week,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,New Generation,Youthful programs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Religious,Environmental issues,News/current affairs,Music shows,", ,Early morning, ,"FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60845883,At home,On a radio,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,New Generation,Good music,Tuesday,"News/current affairs,Music shows,", ,Late evening, ,"Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio Christian Voice"
60848520,At home,On a mobile phone,Less than that,Less than that,4 days per week,1 day per week,4 days per week,2 days per week,Less than that,Rise FM,I love the programs they air most of them are for youths,"Monday,Wednesday,Thursday","Other (specify),Religious,",youth programmes,Late morning, ,"Icengelo,Kokoliko,Phoenix,QFM,Rise FM,Sun"
60848521,At homeIn a market plac,On a mobile phone,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Do not listen at this time,Icengelo,they air educative programs relating marriage and religious ones,Sunday,"Gender issues,Religious,", ,Early afternoon, ,"Icengelo,Iwave,Kokoliko,Phoenix,Rise FM"
60848522,At homeAnother household (friends relatives house),On a radioOn a mobile phone,2 days per week,2 days per week,1 day per week,2 days per week,4 days per week,Less than that,Less than that,Icengelo,they air religional programs and issues relating to marriage,"Saturday,Sunday","Social/community programs e.g. people with special needs,Environmental issues,", ,Early evening, ,"Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio Christian Voice,Rise FM"
60848523,At home,On a radioOn a mobile phone,3 days per week,5 days per week,3 days per week,5 days per week,Less than that,Do not listen at this time,Do not listen at this time,Kokoliko,they air educative programs and religious programs,"Saturday,Sunday","Other (specify),",issues relating to marriage  (amafunde),Early morning, ,"Icengelo,Iwave,Kokoliko,Radio 1,Radio 2,Rise FM"
60848524,At home,On a mobile phone,5 days per week,5 days per week,5 days per week,Less than that,7 days per week,Do not listen at this time,Do not listen at this time,Icengelo,I they air educative programs and my favourite music,"Monday,Tuesday,Thursday","Music shows,Other (specify),",programs which talks about marriage,Early evening, ,"Icengelo,Iwave,Kokoliko,Radio 1,Rise FM"
60848525,At home,On a mobile phone,5 days per week,3 days per week,4 days per week,2 days per week,5 days per week,Less than that,Do not listen at this time,Icengelo,they air educative programs for youths,"Tuesday,Saturday","Radio drama,Music shows,", ,Early morning, ,"Icengelo,Iwave,Kokoliko,Rise FM"
60848526,At home,On a mobile phone,4 days per week,4 days per week,Less than that,Less than that,5 days per week,Less than that,Do not listen at this time,Icengelo,they air nice programs which talks about marriage and religious programs,"Tuesday,Friday,Saturday","News/current affairs,Gender issues,Environmental issues,Religious,", ,Early evening, ,"Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Rise FM"
60848822,At home,On a mobile phone,2 days per week,7 days per week,1 day per week,4 days per week,4 days per week,7 days per week,6 days per week,Phoenix,provides good programmes,Monday,"Sports Commentaries,Social/community programs e.g. people with special needs,", ,Early morning, ,"Icengelo,Phoenix,Radio 1,Radio 2,Radio 4"
60848996,Another household (friends relatives house),On a radio,Less than that,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio Christian Voice,they bring gospel music,"Saturday,Sunday","News/current affairs,Music shows,", ,Other (specify),just by chance,"Chimwemwe,Kokoliko,Parliament,Radio Christian Voice,ZNBC 1"
60848997,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Less than that,Less than that,Do not listen at this time,Do not listen at this time,Yar,they bring nice music and programs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Health issues e.g. HIV / AIDS,Social/community programs e.g. people with special needs,Music shows,Radio drama,", ,Early evening, ,"Icengelo,Radio 1,Radio 2,Radio 4,Yar"
60849608,At home,On a mobile phone,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,2 days per week,Do not listen at this time,Icengelo,good programmes,Tuesday,"Social/community programs e.g. people with special needs,Health issues e.g. HIV / AIDS,Religious,", ,Early evening, ,"Icengelo,Radio Christian Voice,Sun"
60849609,At home,On a radioOn a mobile phone,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Do not listen at this time,Sun,good programmes,Friday,"Social/community programs e.g. people with special needs,Radio drama,Music shows,Religious,", ,Early morning, ,"Chimwemwe,Icengelo,Phoenix,Sun"
60861539,At homeAnother household (friends relatives house)In a restaurantIn a market plac,On a radioOn a mobile phone,Less than that,Less than that,Less than that,Less than that,3 days per week,Do not listen at this time,Do not listen at this time,Lutanda,its has more educational programs.,"Saturday,Sunday","News/current affairs,Developmental issues e.g. building of roads,Health issues e.g. HIV / AIDS,Gender issues,Children's programs,Politics,Agricultural issues,Radio drama,Social/community programs e.g. people with special needs,", ,Lunch time, ,"Lutanda,Nmano,Nothern FM,Radio 1,Radio 2"
60861540,At homeAnother household (friends relatives house)In a restaurantBusPublic van,On a radioOn a mobile phone,7 days per week,Less than that,Less than that,Less than that,7 days per week,Do not listen at this time,Do not listen at this time,Nmano,its ours as kasama people.,"Saturday,Sunday","News/current affairs,Religious,Environmental issues,Radio drama,Children's programs,Gender issues,Social/community programs e.g. people with special needs,Health issues e.g. HIV / AIDS,Developmental issues e.g. building of roads,", ,Early morning, ,"Lutanda,Nmano,Nothern FM,Parliament,Radio 1"
60861541,At homeAnother household (friends relatives house)At work (office field etc)At school/Colleg,On a radioOn a mobile phonePay TV eg. DSTV,Less than that,Less than that,Less than that,1 day per week,Less than that,Do not listen at this time,Do not listen at this time,Nmano,its has better transmission,Tuesday,"Religious,Radio drama,Developmental issues e.g. building of roads,Politics,Environmental issues,Children's programs,Agricultural issues,Gender issues,News/current affairs,Sports Commentaries,", ,Late morning, ,"Lutanda,Nmano,Nothern FM,Radio 1"
60861542,At homeAnother household (friends relatives house)At work (office field etc)In a restaurantIn a market plac,On a radioOn a mobile phone,Less than that,Less than that,Less than that,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Lutanda,i enjoy the Christian programs on this station.,"Saturday,Sunday","Social/community programs e.g. people with special needs,Gender issues,Environmental issues,Agricultural issues,Children's programs,Developmental issues e.g. building of roads,News/current affairs,Radio drama,Health issues e.g. HIV / AIDS,Religious,", ,Late evening, ,"BBC,Lutanda,Nmano,Nothern FM,Parliament,Radio 1,Radio 2,Radio Christian Voice"
60861543,At homeAnother household (friends relatives house),On a radio,Less than that,Less than that,Less than that,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Nothern FM,no favourite,Sunday,"Politics,Music shows,Health issues e.g. HIV / AIDS,Religious,Social/community programs e.g. people with special needs,Gender issues,Radio drama,News/current affairs,Environmental issues,Developmental issues e.g. building of roads,", ,Late evening, ,"Lutanda,Nmano,Nothern FM,Radio 1"
60861544,At homeAnother household (friends relatives house),On a radioOn a mobile phone,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Less than that,Less than that,Less than that,Lutanda,no favourite,Sunday,"Health issues e.g. HIV / AIDS,Religious,Music shows,Children's programs,Developmental issues e.g. building of roads,Social/community programs e.g. people with special needs,Radio drama,News/current affairs,Gender issues,Agricultural issues,Environmental issues,", ,Early evening, ,"Lutanda,Nmano,Nothern FM,Radio 1"
60863462,At homeAnother household (friends relatives house)At work (office field etc)In a restaurantBusPublic van,On a radioOn a mobile phone,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Less than that,Do not listen at this time,Do not listen at this time,Nmano,its our local station,"Saturday,Sunday","Gender issues,Religious,News/current affairs,Health issues e.g. HIV / AIDS,Social/community programs e.g. people with special needs,Radio drama,Developmental issues e.g. building of roads,Environmental issues,Children's programs,", ,Early evening, ,"Lutanda,Nmano,Nothern FM,Radio 1"
60863463,At homeAnother household (friends relatives house)In a car-privatePrivate taxiIn a restaurantIn a market placBusPublic van,On a radioOn a mobile phone,7 days per week,Less than that,Less than that,Less than that,7 days per week,Do not listen at this time,Do not listen at this time,Radio Christian Voice,i like christian programs,Sunday,"Developmental issues e.g. building of roads,Radio drama,Gender issues,Children's programs,Social/community programs e.g. people with special needs,News/current affairs,Environmental issues,Religious,Health issues e.g. HIV / AIDS,Agricultural issues,", ,Early morning, ,"Lutanda,Nmano,Nothern FM,Radio 1"
60863464,At homeAnother household (friends relatives house)At work (office field etc)In a restaurantIn a market plac,On a radioOn a mobile phone,Less than that,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio 1,its a national broadcaster,Wednesday,"Agricultural issues,Social/community programs e.g. people with special needs,Radio drama,Health issues e.g. HIV / AIDS,Environmental issues,News/current affairs,Developmental issues e.g. building of roads,", ,Late morning, ,"Lutanda,Nmano,Nothern FM,Radio 1,Radio 2"
60863465,At homeAnother household (friends relatives house)In a restaurantIn a market plac,On a radioOn a mobile phone,Less than that,Less than that,Less than that,Less than that,Less than that,Do not listen at this time,Do not listen at this time,Nmano,most of the local programs are in local languages,Wednesday,"Religious,Agricultural issues,Children's programs,Radio drama,Gender issues,Social/community programs e.g. people with special needs,Developmental issues e.g. building of roads,News/current affairs,Politics,", ,Early morning, ,"Lutanda,Nmano,Nothern FM,Radio 1"
60877285,At home,On a radio,4 days per week,5 days per week,3 days per week,4 days per week,6 days per week,5 days per week,Do not listen at this time,KNC,Because they play nice music,"Friday,Saturday,Sunday","Radio drama,Music shows,", ,Late evening, ,"KNC,Maranatha,Power,{0}"
60886274,At home,On a radioOn a mobile phone,7 days per week,5 days per week,4 days per week,2 days per week,Less than that,Less than that,Less than that,Petauke Explorers,they play nice music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Children's programs,Social/community programs e.g. people with special needs,Agricultural issues,News/current affairs,Gender issues,Music shows,Politics,Radio drama,Environmental issues,Religious,Health issues e.g. HIV / AIDS,", ,Lunch time, ,"Breeze,Maria,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2"
60886275,At homeAnother household (friends relatives house),On a radioOn a mobile phone,7 days per week,7 days per week,4 days per week,5 days per week,6 days per week,7 days per week,1 day per week,Petauke Explorers,because of the musical programs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Agricultural issues,Health issues e.g. HIV / AIDS,Developmental issues e.g. building of roads,News/current affairs,Politics,Gender issues,Music shows,Social/community programs e.g. people with special needs,Religious,Radio drama,", ,Late morning, ,"Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,QFM,Radio 1,Radio 2,Radio 4"
60886276,At homeIn a market plac,On a radioOn a mobile phone,6 days per week,1 day per week,7 days per week,3 days per week,2 days per week,1 day per week,Do not listen at this time,Radio 1,because i like listening to their programs in nyanja,"Monday,Wednesday,Thursday,Friday","Religious,Radio drama,Agricultural issues,News/current affairs,", ,Early morning, ,"Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2"
60886277,At homeAt work (office field etc),On a radio,1 day per week,Do not listen at this time,Less than that,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Breeze,they air a lot of inspirational programs for women,"Monday,Tuesday,Sunday","Social/community programs e.g. people with special needs,Agricultural issues,News/current affairs,Radio drama,Environmental issues,Music shows,Politics,Developmental issues e.g. building of roads,Religious,Gender issues,", ,Early morning, ,"Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
60888451,At homeAnother household (friends relatives house)In a market placBus,On a radioOn a mobile phone,7 days per week,Less than that,Less than that,Less than that,7 days per week,Do not listen at this time,Do not listen at this time,Nmano,its accessible everywhere,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Gender issues,Developmental issues e.g. building of roads,Religious,Music shows,News/current affairs,Environmental issues,Radio drama,Children's programs,Health issues e.g. HIV / AIDS,Agricultural issues,Politics,Social/community programs e.g. people with special needs,", ,Late morning, ,"BBC,Lutanda,Nmano,Nothern FM,Radio 1,Radio 2"
60888452,At homeAnother household (friends relatives house)In a barIn a restaurantIn a market placBusPublic vanIn hospital,On a radioOn a mobile phone,7 days per week,Less than that,Less than that,Less than that,7 days per week,Do not listen at this time,Do not listen at this time,Parliament,i like to hear our mps represent us well,Sunday,"Agricultural issues,Health issues e.g. HIV / AIDS,Radio drama,Music shows,Gender issues,Environmental issues,News/current affairs,Religious,Children's programs,Politics,Developmental issues e.g. building of roads,Social/community programs e.g. people with special needs,Sports Commentaries,", ,Early morning, ,"BBC,Lutanda,Nmano,Nothern FM,Parliament,Radio 1,Radio 2,Radio Christian Voice"
60888453,At homeAnother household (friends relatives house)In a market placPublic van,On a radioOn a mobile phone,6 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Radio 1,its a national broadcaster,Wednesday,"Social/community programs e.g. people with special needs,Children's programs,Environmental issues,News/current affairs,Agricultural issues,Religious,Developmental issues e.g. building of roads,Radio drama,Health issues e.g. HIV / AIDS,Sports Commentaries,Gender issues,Music shows,Politics,", ,Early evening, ,"Lutanda,Nmano,Nothern FM,Radio 1"
82003831,At home,On a radioOn a mobile phone,Do not listen at this time,1 day per week,Do not listen at this time,1 day per week,Do not listen at this time,2 days per week,Do not listen at this time,Zambezi,they bring programs that are youth like e.g modern musiceducative programs on technology,"Monday,Tuesday,Thursday","Music shows,Politics,", , , , 
82005311,At home,On a radioOn a mobile phone,2 days per week,Less than that,Less than that,2 days per week,Less than that,2 days per week,Less than that,Zambezi,Because they play nice music. they give us current affairs for livingstone and international news.,"Friday,Saturday","News/current affairs,Music shows,Politics,Gender issues,", , , , 
82006682,At home,On a radio,7 days per week,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Breeze,i love their programmes.Theyr interesting.,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Music shows,Radio drama,Developmental issues e.g. building of roads,Social/community programs e.g. people with special needs,Environmental issues,", , , , 
82006683,At home,On a mobile phone,Less than that,Less than that,1 day per week,Less than that,7 days per week,Less than that,Do not listen at this time,Radio 2,i love listening to news,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Music shows,Health issues e.g. HIV / AIDS,Environmental issues,", , , , 
82008677,,,,,,,,,,,,,",", , , , 
82009407,,,,,,,,,,,,,",", , , , 
82013391,,,,,,,,,,,,,",", , , , 
82013392,At homeOther (specify),On a radioOn a mobile phone,Less than that,Less than that,Less than that,Less than that,7 days per week,7 days per week,Do not listen at this time,QFM,i love  their commitment to bring news on time.,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Music shows,Sports Commentaries,Developmental issues e.g. building of roads,Religious,Politics,", , , , 
82016176,Another household (friendsrelatives house),On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Less than that,1 day per week,Do not listen at this time,Do not listen at this time,Mosi-0-Tunya,Because they use my mother tongue Tonga. And they have nice Christian programs,Sunday,"Music shows,Radio drama,Social/community programs e.g. people with special needs,", , , , 
82016600,At home,On a mobile phone,7 days per week,Do not listen at this time,7 days per week,Do not listen at this time,7 days per week,7 days per week,Do not listen at this time,Maria,i love listening to christian sermons and songs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Sports Commentaries,Religious,", , , , 
82020882,,,,,,,,,,,,,",", , , , 
82024076,At home,On a radioOn a mobile phone,3 days per week,3 days per week,Less than that,2 days per week,1 day per week,2 days per week,Do not listen at this time,SKY,"the nature of their programs especially news because they have detailed information,","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Sports Commentaries,Agricultural issues,Developmental issues e.g. building of roads,Religious,Health issues e.g. HIV / AIDS,Politics,Gender issues,Social/community programs e.g. people with special needs,Environmental issues,", , , , 
82024077,At homeIn a car-private,On a radioOn a mobile phone,5 days per week,1 day per week,1 day per week,Do not listen at this time,Less than that,1 day per week,Do not listen at this time,QFM,i like the music the mostit has a good signal,"Saturday,Sunday","News/current affairs,Music shows,Agricultural issues,Radio drama,Developmental issues e.g. building of roads,Children's programs,Religious,Health issues e.g. HIV / AIDS,Gender issues,Social/community programs e.g. people with special needs,Environmental issues,", , , , 
82033089,At homeAnother household (friendsrelatives house)In a car-privateBus,On a radioOn a mobile phone,7 days per week,5 days per week,4 days per week,6 days per week,7 days per week,7 days per week,7 days per week,Breeze,they give us true newsreal storiescurrenty and interbational news,"Monday,Tuesday,Wednesday,Friday,Saturday,Sunday","News/current affairs,Agricultural issues,Developmental issues e.g. building of roads,Politics,Social/community programs e.g. people with special needs,Environmental issues,", , , , 
82033090,,,,,,,,,,,,,",", , , , 
82033093,At home,On a radio,7 days per week,2 days per week,5 days per week,4 days per week,3 days per week,7 days per week,7 days per week,Maria,Its a christian radio stationand am a religious person,"Monday,Saturday,Sunday","News/current affairs,Religious,Environmental issues,", , , , 
82033095,At home,On a mobile phone,5 days per week,2 days per week,3 days per week,2 days per week,3 days per week,2 days per week,2 days per week,Feel Free,Favarite programmesit covers all part of eastern province.,"Monday,Wednesday","News/current affairs,Music shows,Agricultural issues,Radio drama,Religious,Gender issues,Social/community programs e.g. people with special needs,Environmental issues,", , , , 
82033096,At home,On a radio,6 days per week,3 days per week,5 days per week,2 days per week,2 days per week,3 days per week,3 days per week,QFM,its good programmsgood music,"Friday,Sunday","News/current affairs,Music shows,Sports Commentaries,Radio drama,Religious,Health issues e.g. HIV / AIDS,Politics,Environmental issues,", , , , 
82033097,,,,,,,,,,,,,",", , , , 
82033098,At homeAt work (officefield etc),On a radio,7 days per week,5 days per week,2 days per week,6 days per week,2 days per week,7 days per week,6 days per week,Breeze,its loud and clear,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Music shows,Sports Commentaries,Agricultural issues,Radio drama,Developmental issues e.g. building of roads,Religious,Politics,Social/community programs e.g. people with special needs,", , , , 
82088474,At home,On a radio,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,4 days per week,2 days per week,Do not listen at this time,Radio 1,"There's a program that comes that I love that comes on monday ""zambian Lifasi""and Lyashi lyapano isonde on Wednesday and thursday ""zapano nizatonse","Monday,Wednesday,Thursday,Saturday","News/current affairs,Sports Commentaries,Radio drama,Social/community programs e.g. people with special needs,", , , , 
82088904,At homeAt work (officefield etc),On a radioOn a mobile phonePay TV eg. DSTV,5 days per week,Less than that,Less than that,Less than that,7 days per week,Less than that,Less than that,Icengelo,it reaches my needs,"Monday,Tuesday,Wednesday,Thursday,Friday","News/current affairs,Music shows,Health issues e.g. HIV / AIDS,Gender issues,", , , , 
82089608,At homeBus,On a radioOn a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Radio Christian Voice,religious programs,Sunday,"Religious,", , , , 
82090749,At homeBus,On a mobile phone,4 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,4 days per week,Do not listen at this time,Do not listen at this time,Icengelo,i like the songs they pray,"Monday,Tuesday,Saturday,Sunday","Music shows,", , , , 
82091147,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Radio 1,"I mostly listen to the program ""ilyashi lyapano isonde""",Wednesday,"Radio drama,Environmental issues,", , , , 
82091969,At home,On a radioOn a mobile phonePay TV eg. DSTV,7 days per week,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Chimwemwe,it reaches my needs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Religious,Politics,", , , , 
82091970,At home,On a radio,3 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Kabangabanga,good local programmes,"Monday,Wednesday,Saturday,Sunday","Radio drama,", , , , 
82092535,At home,On a mobile phone,7 days per week,Do not listen at this time,3 days per week,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Radio 2,it is country world and it help me to get information about digferent issues in the country. it has political issues,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Health issues e.g. HIV / AIDS,Politics,", , , , 
82092537,At home,On a radioOn a mobile phone,Do not listen at this time,1 day per week,7 days per week,3 days per week,2 days per week,Do not listen at this time,Do not listen at this time,Mosi-0-Tunya,it updates me mostly about what is happening in livingstoneinformation about current affairs and music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Music shows,Health issues e.g. HIV / AIDS,Gender issues,", , , , 
82093272,At home,On a radioOn a mobile phone,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,3 days per week,Do not listen at this time,Icengelo,i like they programmes and the songs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Music shows,Children's programs,", , , , 
82094391,At home,On a radio,1 day per week,1 day per week,Less than that,Less than that,Less than that,Less than that,Less than that,Chimwemwe,because i litsen to it most of the time and i grew up litsening to it,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Music shows,Sports Commentaries,Developmental issues e.g. building of roads,Children's programs,Health issues e.g. HIV / AIDS,Social/community programs e.g. people with special needs,", , , , 
82095349,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,7 days per week,Do not listen at this time,Radio Christian Voice,the programs encourage me in the Lord. The music played ministers to me too.,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Music shows,Sports Commentaries,Religious,", , , , 
82096725,Another household (friendsrelatives house)In a bar,On a radio,2 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,6 days per week,Do not listen at this time,Do not listen at this time,SKY,they have educative programs like open forum about our communitiesradion dramanews about politics,"Monday,Tuesday,Wednesday,Thursday,Friday","News/current affairs,Music shows,Sports Commentaries,Radio drama,Health issues e.g. HIV / AIDS,Politics,Gender issues,Social/community programs e.g. people with special needs,", , , , 
82098177,At home,On a radioOn a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Icengelo,i live there programes,Wednesday,"Children's programs,", , , , 
82098178,,,,,,,,,,,,,",", , , , 
82101518,At homeIn a market plac,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Do not listen at this time,Radio 2,favourite programmess such as agriculture programmes,"Tuesday,Wednesday","Music shows,Agricultural issues,", , , , 
82101519,,,,,,,,,,,,,",", , , , 
82102463,At homeIn a market placBus,On a radioOn a mobile phone,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Icengelo,i like there teaching,"Wednesday,Sunday","News/current affairs,Music shows,Radio drama,Developmental issues e.g. building of roads,Religious,Environmental issues,", , , , 
82102969,At home,On a radio,3 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Radio 1,radio 1 is my favorite because their news is not biased,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,", , , , 
82105045,At home,On a radio,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Jive,news programme,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Politics,", , , , 
82105046,At home,On a radio,7 days per week,Do not listen at this time,7 days per week,Less than that,Less than that,Less than that,Do not listen at this time,Icengelo,radio drama and news,"Wednesday,Friday","News/current affairs,Agricultural issues,Radio drama,", , , , 
82105047,,,,,,,,,,,,,",", , , , 
82105049,At home,On a radioOn a mobile phone,Do not listen at this time,Do not listen at this time,3 days per week,1 day per week,Less than that,Do not listen at this time,Do not listen at this time,Chimwemwe,radio drama and news,"Monday,Wednesday,Saturday","News/current affairs,Radio drama,Religious,Gender issues,", , , , 
82105050,,,,,,,,,,,,,",", , , , 
82105099,At home,On a radioOn a mobile phone,7 days per week,3 days per week,2 days per week,2 days per week,4 days per week,4 days per week,4 days per week,Icengelo,News,Monday,"News/current affairs,", , , , 
82105100,At home,On a mobile phone,1 day per week,2 days per week,5 days per week,3 days per week,4 days per week,6 days per week,7 days per week,Icengelo,listening to prayers,Monday,"Religious,", , , , 
82105101,At home,On a radioOn a mobile phone,7 days per week,6 days per week,7 days per week,3 days per week,7 days per week,7 days per week,4 days per week,Icengelo,Educative programs nd gud music,Monday,"Social/community programs e.g. people with special needs,", , , , 
82107300,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Do not listen at this time,Icengelo,i like there programes,"Tuesday,Wednesday,Friday","Radio drama,Children's programs,", , , , 
82108125,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,5 days per week,Do not listen at this time,Do not listen at this time,Radio 1,local programmes,Wednesday,"Radio drama,", , , , 
